"_parent_id","value","_id"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Yellow Pages; permalink=yahoo-yellow-pages}","17af64d5-37da-49ba-b1eb-d9507d2d0f59"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Shopping; permalink=yahoo-shopping}","f0032935-6a54-44c9-9357-cee04d6053be"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Travel; permalink=yahoo-travel}","5148f864-b6e6-4b54-a446-0fe5ee111468"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Mail; permalink=yahoo-mail}","01db35eb-07f6-4419-b085-85200cd79870"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Messenger; permalink=yahoo-messenger}","8a6f22d8-85d1-4c50-8225-598f5d83283e"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Groups; permalink=yahoo-groups}","1acfba70-182b-4b96-b82c-16269d65a103"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! 360o; permalink=yahoo-360o}","726a9ec7-f7ce-4055-9a60-c7d34d8222f8"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Sports; permalink=yahoo-sports}","3a1398e3-c1d4-4234-8d0a-f631bdca76c2"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Music; permalink=yahoo-music}","89575930-b7d9-428e-9cc9-12c968aa64d7"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! TV; permalink=yahoo-tv}","fb1ca616-fa36-4cc4-9bef-7e288a2a5163"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Video; permalink=yahoo-video}","1b5f5b94-298a-4a2f-b3b5-e8f88bcd4a92"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Games; permalink=yahoo-games}","d10b9cbb-2faf-4029-80ff-c33f1b341b4c"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! OMG; permalink=omg}","4e01083c-0fe7-40c6-a51f-672cc4c4dfda"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Autos; permalink=yahoo-autos}","f9b105eb-a1ce-42cd-867a-2445fb3784ce"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Real Estate; permalink=yahoo-real-estate}","dace4f19-9784-42f8-8542-2387afca48dd"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Tech; permalink=yahoo-tech}","18ee99bf-2305-4047-9ff0-c3a08f230763"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Kids; permalink=yahoo-kids}","012a9036-dbea-4e5b-9ebf-1b0c99a87347"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Health; permalink=yahoo-health}","28e157b2-2bbb-49ed-80c1-9aadec5be2af"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! News; permalink=yahoo-news}","8e250b09-2288-41b6-a432-06a6000ed6ba"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Digital Home; permalink=yahoo-digital-home}","f133b24e-9db1-4c61-abf6-0fbad4145144"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Desktop; permalink=yahoo-desktop}","c5c1c6b9-0f92-444a-86c7-0fa8f4482433"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Search Assist; permalink=yahoo-search-assist}","40dcae68-ce95-4358-8c0b-fefbfe87e9cc"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Trip Planner; permalink=yahoo-trip-planner}","198651b0-0bda-42ac-9ec5-a97032dc3166"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Personals; permalink=yahoo-personals}","80a2da89-724a-4759-8831-b1bfd09383e8"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Widgets; permalink=yahoo-widgets}","93a35900-000b-4e94-97a5-a4bc748fd35d"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Zimbra Mail; permalink=zimbra-mail}","c9301ca4-8f9a-405a-ad18-6f0a284bc8a3"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Food; permalink=yahoo-food}","abb8074f-0c2f-4c68-8e6a-1a24e5138be0"
"83e959d8-35d3-4691-9c3c-83e294cce914","@{name=Yahoo! Movies; permalink=yahoo-movies}","e43ca9df-09f0-42bb-9d6c-8d51491c3dce"
"cd089dc3-d7aa-4e57-a1e9-38f0d4059ebf","@{name=Powerset; permalink=powerset}","e68b0b1d-9199-44be-b4df-48874c614885"
"e18bb4fc-2ca1-4a6f-83f7-0ff88033e133","@{name=Technorati; permalink=technorati}","d87bc322-7779-451b-8e27-b9806d9b79fa"
"e18bb4fc-2ca1-4a6f-83f7-0ff88033e133","@{name=Popular; permalink=popular}","dadc20d0-e8f3-4981-8471-18456ad1bb0b"
"e18bb4fc-2ca1-4a6f-83f7-0ff88033e133","@{name=WTF; permalink=wtf}","2a44fa60-14ec-46b5-bee0-79a88dde4688"
"3f4d8b57-c96a-454e-b4fd-4bf74207582d","@{name=SpinVox; permalink=spinvox}","46354c9c-cb1c-4c08-be2a-a45e65c56fda"
"dd935ed7-6daa-42ac-ab79-1380ee0e6939","@{name=Publisher Solutions; permalink=addthis}","8910b525-be17-4ffc-8a30-892cee4c995a"
"dd935ed7-6daa-42ac-ab79-1380ee0e6939","@{name=Advertiser Solutions; permalink=add-this}","4b516b3e-40e2-4f16-82f6-8310d170ab7e"
"dd935ed7-6daa-42ac-ab79-1380ee0e6939","@{name=Data Solutions; permalink=audience-platform}","d6e6e7db-714d-495a-ba69-4032f2acc438"
"058caa71-092c-4b74-a2ba-554e81cefcd7","@{name=OpenX Enterprise; permalink=openads}","582afa7e-e895-4ebd-85bc-e04ee3f1bbbe"
"058caa71-092c-4b74-a2ba-554e81cefcd7","@{name=OpenX Market; permalink=openx-hosted}","4cf2ebe9-1035-47a3-9edb-e9f12aec6b57"
"058caa71-092c-4b74-a2ba-554e81cefcd7","@{name=OpenX Lift; permalink=openx-mods}","d2d0b0ee-e95a-48a3-9795-6ed44eb77eda"
"09fb2386-e12b-4f77-9e08-b0979aeadca9","@{name=Mahalo; permalink=mahalo}","fd121607-a8c2-423c-b759-644b611d310b"
"fdac669a-16c0-4071-a8ea-d2e1ee370b91","@{name=Sparter; permalink=sparter}","fe8cc6a6-71cc-4e96-acb9-b92474aa0ca5"
"dc3c62df-bd12-4b64-b27d-0428c0172bfd","@{name=Kyte; permalink=kyte}","a8e89aea-f944-4e07-8a03-6a002aa8132d"
"dc3c62df-bd12-4b64-b27d-0428c0172bfd","@{name=Kyte Mobile Producer; permalink=kyte-mobile-producer}","6af8fdca-bdf9-47b8-90c5-d0dd4ad6a84b"
"5e3a9f3d-0b85-456e-997f-d01b29fb881e","@{name=Veoh; permalink=veoh}","920135fb-b38f-498c-b7e3-56e9e86532ce"
"5e3a9f3d-0b85-456e-997f-d01b29fb881e","@{name=VeohTV; permalink=veohtv}","974592c9-1dfb-4a69-81b7-5c988a469921"
"c640b5e8-3b93-4cdc-b113-200f076ba3d1","@{name=Thoof; permalink=thoof}","fffaf9d7-27de-4683-b5c1-c9d8277682a8"
"36d7fdfb-f9df-4218-9ad7-d9cf8f8255f7","@{name=MyFree411; permalink=myfree411}","c81ca23d-80c3-45e1-bc90-3f48cd498e30"
"05a1c03b-f3df-44dc-903f-3a1f8284d3f1","@{name=Info.com; permalink=info-com}","eec893de-17ad-40b3-b878-cc0341634943"
"5de570cc-c40f-4aed-ae09-3a9c33a9a254","@{name=social.fm; permalink=social-fm}","b6b71045-ea1f-4e65-b60f-fe5ff0eb48c7"
"3441e6db-0240-4ce8-902d-6bf89322b3b9","@{name=LifeLock; permalink=lifelock}","497626f0-bc2d-4ef2-8cd2-893464e4433f"
"3fc69d25-db01-4888-a795-0c74e780ccd2","@{name=Wesabe; permalink=wesabe}","88a3a871-22c7-44ee-a09e-a4dda3fa11c7"
"1cba7f18-e8cd-4ee6-ab0f-d267b1c0640a","@{name=Call Anyone; permalink=call-anyone}","a706fce3-bf40-4385-9e18-0c25b6cd4341"
"a7a589c2-0415-450e-8fd1-0223127811b8","@{name=SmugMug; permalink=smugmug}","2c212502-3001-4afc-88dc-cffa56f571bb"
"57562fbe-8af6-46fa-af55-6ea6b29268fd","@{name=Prosper; permalink=prosper}","4e808f85-82d3-4932-9f69-3c3366910c9a"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Gmail; permalink=gmail}","f64dee85-b1bd-415b-aa5f-1ec6083c201e"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Blogger; permalink=blogger}","be9112ae-9d82-42fd-9a55-857105be3a90"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Search; permalink=google-search}","455976f5-046f-4fb3-bac3-1b045c822f4b"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Calendar; permalink=google-calendar}","273eafd9-bf79-482e-80f1-492afd5c3ada"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=iGoogle; permalink=igoogle}","adcc1552-cf86-4def-bdff-c4930f5d76ab"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Reader; permalink=google-reader}","aed2a572-a487-4bec-92ae-503bbdfafd05"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Alerts; permalink=google-alerts}","cab2020d-5ef0-42e5-847d-6d42733df252"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Blog Search; permalink=google-blog-search}","4661d87a-d5a4-4f32-8137-4ba7f92b658c"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Books; permalink=google-books}","bbc1db7c-57cc-4c1e-96c9-36c4dd64bc31"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Checkout; permalink=google-checkout}","59bd3938-1776-41d7-841b-68c8203bb81f"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Desktop; permalink=google-desktop}","c39c0f5b-4ffb-42df-8126-57e6ed0a3157"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Earth; permalink=google-earth}","fa9ed4e9-c266-4088-819a-365995741307"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Finance; permalink=google-finance}","7d8f81bf-f9d6-4b1f-ae28-a1de65629d09"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Images; permalink=google-images}","afd1337f-2d46-4376-a4a8-3184e9cafc16"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Maps; permalink=google-maps}","3c15add6-c6ee-477e-a49f-d0bdf98c6af9"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google News; permalink=google-news}","e9badf02-2458-4497-89b8-52dfc0ddab62"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Notebook; permalink=google-notebook}","3e32f970-053e-41b9-81b7-8789849016ed"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Patent Search; permalink=google-patent-search}","63b18aed-abca-4779-869f-6eebef454b56"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Product Search; permalink=google-product-search}","d9c07d25-d739-4eaa-a060-d6084fb9235f"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Scholar; permalink=google-scholar}","dc0fcb77-31cf-4d5b-bc28-edf4d178d7a0"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Special Searches; permalink=google-special-searches}","6b0c2164-94be-47b7-9f80-599cc6fcbb13"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Toolbar; permalink=google-toolbar}","e383a8b9-78fa-4067-b12c-55263c23452d"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Video; permalink=google-video}","ba63b9be-bb5a-4b88-bbbe-06947e1e2706"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Code; permalink=google-code}","7580adf9-9163-4b19-828c-daebb60dc605"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Custom Search; permalink=google-custom-search}","bbd4f5cd-863e-4535-b27e-5b9efc4fbd23"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Labs; permalink=google-labs}","02315105-1428-4752-ba98-ea01743455a8"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Docs; permalink=google-docs}","981ce405-9142-4073-8dc5-028131502f54"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Groups; permalink=google-groups}","1bb73c19-761a-4155-a674-cabbe447e78b"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Orkut; permalink=orkut}","27a5ed01-1f41-4483-9bc4-9b0f53ed071b"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Picasa; permalink=picasa}","63493899-a1ee-47b0-9c5b-305a819cb0dc"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google SketchUp; permalink=google-sketchup}","f74b7808-6b70-4e59-96aa-d660ae112994"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Talk; permalink=google-talk}","c4a0f498-0c82-45a3-b0cb-32cb026f4d9a"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Translate; permalink=google-translate}","20dd1ad7-25b7-40ac-a24e-15f9502e77c0"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{name=Google Social Graph API; permalink=google-social-graph-api}","74998b02-1d65-46a5-985c-40a6e89e8389"
