"_parent_id","value","_id"
"a7a589c2-0415-450e-8fd1-0223127811b8","@{description=; address1=67 E. Evelyn Ave, Suite 200; address2=; zip_code=94041; city=Mountain View; state_code=CA; country_code=USA; latitude=37.390056; longitude=-122.067692}","17b38bf7-1a19-4957-83b6-3d1af82dd88f"
"57562fbe-8af6-46fa-af55-6ea6b29268fd","@{description=; address1=101 2nd Street; address2=15th Floor; zip_code=94105; city=San Francisco; state_code=CA; country_code=USA; latitude=37.78976; longitude=-122.402524}","38c2d2c8-1127-4073-90ad-51f3d70f31f7"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Headquarters; address1=1600 Amphitheatre Parkway; address2=; zip_code=; city=Mountain View; state_code=CA; country_code=USA; latitude=37.421972; longitude=-122.084143}","0d96d51d-5e05-439e-bae3-4d88aea0209d"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Ann Arbor; address1=112 S. Main St.; address2=2nd Floor; zip_code=48104; city=Ann Arbor; state_code=MI; country_code=USA; latitude=42.280988; longitude=-83.74888199999999}","5ae51fe3-e78c-4206-abbd-22ba47339fb0"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Atlanta; address1=10 10th Street NE; address2=Suite 600; zip_code=30309; city=Atlanta; state_code=GA; country_code=USA; latitude=33.781466; longitude=-84.387519}","6da07f89-03f2-46ad-82b9-38ae96556365"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Austin; address1=Plaza 7000; address2=7000 North MoPac Expressway, 2nd Floor; zip_code=78731; city=Austin; state_code=TX; country_code=USA; latitude=30.351416; longitude=-97.75138200000001}","04539d4f-e254-4f77-8026-9255418151c9"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Boulder; address1=2590 Pearl Street; address2=Suite 100; zip_code=80302; city=Boulder; state_code=CO; country_code=USA; latitude=40.021416; longitude=-105.260931}","44e3ba44-6334-4a7e-86b4-f460e1d1f054"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Cambridge; address1=5 Cambridge Center; address2=Floors 3-6; zip_code=02142; city=Cambridge; state_code=MA; country_code=USA; latitude=42.36305; longitude=-71.087478}","46658a80-9c47-463a-b787-11ecc044456c"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Chicago; address1=20 West Kinzie St.; address2=; zip_code=60610; city=Chicago; state_code=IL; country_code=USA; latitude=41.889474; longitude=-87.628912}","5dfac057-a0d7-43bd-b6fb-16a58bfc965c"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Coppell; address1=701 Canyon Drive; address2=Suite 120; zip_code=75019; city=Coppell; state_code=TX; country_code=USA; latitude=32.981465; longitude=-97.018196}","e04f2793-7bc3-4d3c-8e73-82e499736a70"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Dallas; address1=3102 Oak Lawn; address2=Suite 200; zip_code=75219; city=Dallas; state_code=TX; country_code=USA; latitude=32.809161; longitude=-96.807693}","07a5a852-e9a2-4893-98d9-55117f552e68"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Denver; address1=4600 S. Syracuse St.; address2=8th Floor; zip_code=80237; city=Denver; state_code=CO; country_code=USA; latitude=39.62919; longitude=-104.898419}","d4d34334-990c-41a5-b0bc-9c328556ec36"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Detroit; address1=114 Willits Street; address2=; zip_code=48009; city=Birmingham; state_code=MI; country_code=USA; latitude=42.547807; longitude=-83.215498}","69151eae-a9a6-4ea8-a407-2bbcf5f1c16d"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Irvine; address1=19540 Jamboree Road; address2=2nd Floor; zip_code=92612; city=Irvine; state_code=CA; country_code=USA; latitude=33.658331; longitude=-117.861817}","0449a057-0bfa-4639-8227-adb5204912e6"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Kirkland; address1=Central Way Plaza; address2=720 4th Avenue, Ste 400; zip_code=98033; city=Kirkland; state_code=WA; country_code=USA; latitude=; longitude=}","1f278ee0-03c0-4ab4-a767-7d0bd2acead9"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google New York; address1=76 Ninth Avenue; address2=4th Floor; zip_code=10011; city=New York; state_code=NY; country_code=USA; latitude=40.74222; longitude=-74.00448900000001}","74fcf6c5-0768-4b85-b23e-9cd33fb43729"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Phoenix; address1=1551 S. Rural Road; address2=2nd floor; zip_code=85281; city=Tempe; state_code=AZ; country_code=USA; latitude=33.411898; longitude=-111.926263}","734210cf-d8e1-4cdb-adee-a1ae3529d198"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Pittsburgh; address1=4720 Forbes Avenue; address2=Lower Level; zip_code=15213; city=Pittsburgh; state_code=PA; country_code=USA; latitude=40.444528; longitude=-79.946269}","54319ae3-98b8-4ff9-a110-728346207009"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google San Francisco; address1=345 Spear Street; address2=4th Floor; zip_code=94105; city=San Francisco; state_code=CA; country_code=USA; latitude=37.789803; longitude=-122.389757}","79692d77-6ce0-492a-a52e-5f97e2899cdc"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Santa Monica; address1=604 Arizona Avenue; address2=; zip_code=90401; city=Santa Monica; state_code=CA; country_code=USA; latitude=34.019282; longitude=-118.494288}","833aa644-e455-4e46-b3eb-3be48abceda7"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Seattle; address1=Evanston Building; address2=501 N. 34th Street, Suite 300; zip_code=98103; city=Seattle; state_code=WA; country_code=USA; latitude=47.675326; longitude=-122.351397}","ee4a983c-bf1e-40ba-8f91-1dae82d61dc3"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Seattle; address1=651 N. 34th St.; address2=; zip_code=98103; city=Seattle; state_code=WA; country_code=USA; latitude=47.649701; longitude=-122.350592}","563638d9-fb4c-4e99-bc1a-991f2da798f9"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Washington DC; address1=1101 New York Avenue, N.W.; address2=Second Floor; zip_code=20005; city=Washington; state_code=DC; country_code=USA; latitude=38.901113; longitude=-77.027101}","16cea077-3f8c-4a10-83c6-cff7a69ef0bd"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Melbourne; address1=Rialto South Tower, Level 27; address2=525 Collins Street; zip_code=3000; city=Melbourne; state_code=; country_code=AUS; latitude=-37.879234; longitude=145.073608}","1b7e7cdc-06b0-49ad-b825-87fddfa9165c"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Sydney; address1=Levels 11 & 18, Tower 1, Darling Park; address2=201 Sussex St.; zip_code=2000; city=Sydney; state_code=; country_code=AUS; latitude=-34.822723; longitude=138.612396}","452b547c-d6fe-4464-92e8-572f9d56ddad"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Beijing; address1=Tsinghua Science Park Bldg 6; address2=No. 1 Zhongguancun East Road; zip_code=100084; city=Beijing; state_code=; country_code=CHN; latitude=; longitude=}","a4f5fcf8-5948-4dec-a47f-0e75aed7248b"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Guangzhou; address1=Tower A, 23/F, Center Plaza; address2=161 Lin he Xi Lu, Tian He District; zip_code=510620; city=Guangzhou; state_code=; country_code=CHN; latitude=; longitude=}","53449ec3-3c6e-4f4d-819c-1a634735fbbc"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Shanghai; address1=16F, Raffles City; address2=No.268 Xizang Zhong Road, Huangpu District; zip_code=200001; city=Shanghai; state_code=; country_code=CHN; latitude=; longitude=}","5c94ec29-2513-4fec-b47a-9513da52899b"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Hong Kong; address1=One IFC - 18/F; address2=1 Harbour View Street; zip_code=; city=Central; state_code=; country_code=HKG; latitude=; longitude=}","d1be9ef3-d179-4d4f-8309-2c9d7a1a1b6c"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Bangalore; address1=Prestige Sigma, No. 3, 1st Floor; address2=Vittal Mallya Road (Grant Road); zip_code=560 001; city=Bangalore; state_code=; country_code=IND; latitude=; longitude=}","292b2554-8e5c-4580-81f4-0bfd3dda6517"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Delhi; address1=Tower C, Level 9; address2=Building No. 8; zip_code=122002; city=Gurgaon; state_code=; country_code=USA; latitude=; longitude=}","f2d88e2f-7beb-4f69-9013-c8ecca056c42"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Delhi (Honeybee); address1=No. B1/A6, First Floor; address2=Mohan Co-operative Industrial Estate Mathura Road; zip_code=110044; city=New Delhi; state_code=; country_code=IND; latitude=28.86999; longitude=77.12226099999999}","63e6a3a2-0f0c-4dbb-928f-8042254ae370"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Hyderabad; address1=BLOCK A, Fourth Floor; address2=Plot No. 14, Road NO 2; zip_code=500 081; city=Hyderabad; state_code=; country_code=IND; latitude=; longitude=}","98cdc75d-baa3-4c9e-8c3f-dc1e81130364"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Mumbai; address1=264-265 Vasvani Chambers; address2=Dr Annie Besant Road; zip_code=400 025; city=Mumbai; state_code=; country_code=IND; latitude=; longitude=}","2e96a8f5-8365-492b-b6e3-aae21c13dda1"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Japan Headquarters; address1=6F Cerulean Tower; address2=26-1 Sakuragaoka-cho; zip_code=150-8512; city=Tokyo; state_code=; country_code=JPN; latitude=; longitude=}","0ab9f15e-0940-4287-9348-40087d688b09"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Osaka; address1=9F, Edobori Center Building; address2=2-1-1 Edobori; zip_code=550-0002; city=Osaka; state_code=; country_code=USA; latitude=; longitude=}","18167158-e199-4c3f-ae63-2471c2680a2e"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Seoul; address1=22nd Floor, Gangnam Finance Center; address2=737 Yeoksam-dong; zip_code=135 984; city=Seoul; state_code=; country_code=PRK; latitude=; longitude=}","a065b258-61e0-4bca-9b78-1b5bcf5d7a52"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Singapore; address1=Level 25 North Tower; address2=One Raffles Quay; zip_code=048583; city=Singapore; state_code=; country_code=SGP; latitude=; longitude=}","5ca82ab3-fd9f-481f-8d67-acbbbc0d9312"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Taipei; address1=Level 73, Taipei 101 Tower; address2=7 Xinyi Road, Sec. 5,; zip_code=110; city=Taipei; state_code=; country_code=TWN; latitude=; longitude=}","d6d110f7-a090-407f-8882-73999c3a7c7c"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Aarhus; address1=Aabogade 15; address2=8200 Aarhus N; zip_code=; city=; state_code=; country_code=DNK; latitude=56.171882; longitude=10.187799}","76ca68ae-3683-4791-a7e2-826c31ae33ba"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Copenhagen; address1=Larsbjornsstraede 3; address2=1454 Copenhagen K.; zip_code=; city=; state_code=; country_code=DNK; latitude=; longitude=}","a008ee40-fa15-4564-b777-ecc96afb5da8"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Helsinki; address1=Luna House; address2=Mannerheimintie 12 B; zip_code=; city=Helsinki; state_code=; country_code=FIN; latitude=; longitude=}","3d298506-8f98-4050-9be8-e8419177cde6"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Paris; address1=38 avenue de l'Op????ra; address2=; zip_code=75002; city=Paris; state_code=; country_code=FRA; latitude=48.869606; longitude=2.332749}","87963697-843a-4f45-89a1-b08ed67cc605"
"a1d88441-3ac0-4fba-a735-7d443d0c09e0","@{description=Google Hamburg; address1=ABC-Strasse 19; address2=; zip_code=20354; city=Hamburg; state_code=; country_code=DEU; latitude=53.554052; longitude=9.985265999999999}","dfe957e7-7e7a-44b1-9e31-2db469905a3e"
